ticker,contrib,avg_w,months,members,mean_ret,share_of_total
NVDA,0.29357294287843405,0.029020794212164622,43,2,0.04992224411620917,0.3081551731311898
MSFT,0.12189827735390867,0.033159961634040364,55,4,0.013791988891080407,0.12795315669789864
KD,0.10570485648343354,0.13020833333333334,12,1,0.066639729846931,0.11095538311903774
NOW,0.07924683696072517,0.18181818181818182,11,1,0.03271731587750457,0.0831831521130463
AAPL,0.053055157509226,0.045411624090195515,52,2,0.021589059364954727,0.05569049070890756
F,0.03747652797974055,0.05042099104599104,12,1,0.04703032576698913,0.03933804612482627
ARCC,0.03378439398644933,0.04537985686755068,34,2,0.007567510658916871,0.035462518023459864
MOS,0.032339531908802226,0.02268663875806733,17,1,0.057235532288747226,0.033945887371729794
TWST,0.030108855751750353,0.018282828282828286,12,1,0.136733311898135,0.03160441001814213
ABBV,0.021051145449576765,0.029777113318779986,33,2,0.020163515837873236,0.022096788985456344
TDOC,0.017786666401901803,0.023362594195927528,6,1,0.14994897615493416,0.018670158124123933
XOM,0.017170745568668107,0.016539918414918416,24,2,0.04569160667673685,0.01802364353344236
PWR,0.014889789459107855,0.04050925925925926,12,1,0.04029547827157023,0.01562938874294811
MPC,0.013698322058305365,0.02228648544438018,16,1,0.029384034089804494,0.014378739280587758
EMR,0.012111226349237872,0.024972111222111223,12,1,0.03913075520171369,0.012712810029042319
MRK,0.011943853819560816,0.018291750460868107,15,2,0.026487134362953173,0.012537123842317012
DBRG,0.0119407290256369,0.034622668997669,12,1,-0.008809998567498784,0.012533843834959445
NEO,0.011847207176432138,0.018282828282828286,12,1,0.05440662328927249,0.012435676608270656
OKE,0.011480417316918552,0.04564484126984127,12,1,0.015073255228822358,0.012050667718987634
AMZN,0.010988038810145049,0.0055117064162423885,40,2,0.025794754032823605,0.011533831996617621
GOLD,0.010691220935329737,0.018652065527065526,12,1,0.025692716194255238,0.011222270710671663
MRVL,0.010284732592461468,0.015098134189043282,11,1,0.0583948170895878,0.010795591451867315
STM,0.01025359397713649,0.01836334961334961,18,1,0.0033648722413097687,0.010762906132496764
AMCX,0.00997916586238257,0.024796075837742505,12,1,0.00869740287686536,0.010474846741243264
CRM,0.009810849438162978,0.012215529160414308,35,3,0.015909370357585145,0.010298169775247494
BX,0.009671391591878234,0.005223509049136079,23,2,0.05319066097960704,0.01015178483818545
IRM,0.009660374208207957,0.013572946661181957,12,1,0.05593274831667596,0.0101402202037233
VRSK,0.009213015669151392,0.00794460657890487,27,1,0.019394028403709126,0.009670640661742905
CCEP,0.00860463498208884,0.01918451124946223,24,1,0.011354908026832464,0.009032040748163456
CPRT,0.008262902039526066,0.07142857142857142,1,1,0.11568062855336492,0.008673333392343987
ARE,0.00808823150356877,0.029949494949494948,12,1,0.01900573561813086,0.008489986695877048
BA,0.007839284226202193,0.008519540912511645,24,2,0.008229153688246432,0.008228673815319106
V,0.007782085786970826,0.041502712195989507,21,2,0.0011859895534776694,0.008168634239562036
NVO,0.0073576365718750125,0.013572946661181957,12,1,0.04351335317758206,0.0077231019637303035
ECL,0.007155964416043618,0.006999975927346546,23,1,0.017046526132652045,0.0075114124344207245
AMT,0.006670023293236014,0.017915313299928685,22,3,0.007062798356558888,0.00700133385101275
SPCE,0.006421094951057535,0.003823439744460039,12,1,0.1422095515666937,0.006740040846183509
UTX,0.00585421688424887,0.018282828282828286,12,1,0.028915577453225854,0.006145005053344675
IWN,0.005736558816271081,0.004005314724065087,12,1,0.0247354558525656,0.006021502723898087
COST,0.005479628698107811,0.013572946661181957,12,1,0.0368244515658138,0.005751810482273474
SU,0.005441651153717611,0.018282828282828286,12,1,0.028893532581742876,0.005711946533464316
EW,0.005385367095960976,0.013572946661181957,12,1,0.03325503984119043,0.005652866757949364
PGR,0.0046763219342190274,0.020535113035113035,6,1,0.026539052378512795,0.004908602206754331
STT,0.0046159617576961775,0.013572946661181957,12,1,0.025927866656422327,0.0048452438452369
WCN,0.004570834070040076,0.0038991338473004416,15,1,0.02066054977905413,0.004797874594289157
CVS,0.004309015616640037,0.13020833333333334,12,1,-0.010693301764471308,0.004523051206120723
JNJ,0.004213169415716344,0.024972111222111223,12,1,0.013298641603260433,0.004422444173503831
IBM,0.004202201905737123,0.02527472527472527,12,1,0.012471799121695113,0.004410931890037489
