ticker,contrib,avg_w,months,members,mean_ret,share_of_total
VWDRY,0.05524890418101864,0.048530360028655,12,1,0.08833695469497728,0.09889735667326145
NVDA,0.05165700079771108,0.004791514684513921,47,4,0.060048841638995,0.09246773141099417
TWST,0.03827324600501558,0.021866190115337598,12,1,0.136733311898135,0.06851036988534381
EMR,0.03548913005171308,0.015343532826886008,29,4,0.03528782157074016,0.06352671070630671
MSFT,0.031857858006842085,0.006732195879248132,54,6,0.02313360445581389,0.05702661424425542
AAPL,0.026552034923069682,0.009655466402755363,51,4,0.03377690879419737,0.047529016314678006
PSX,0.025261267857352724,0.01316734815374541,28,3,0.0378730266921859,0.04521850078912002
ROKU,0.02514910800021369,0.010178140834478492,16,1,0.0912766341259601,0.04501773095376622
AORT,0.02428460743407688,0.023248363954885692,24,1,0.03615000962675511,0.04347024649048446
FWONK,0.02402810724146143,0.013014062841238745,40,2,0.019499542652900135,0.04301110270452381
ABBV,0.022748050632962792,0.013650132973432066,43,4,0.020185789674325324,0.04071975924985764
HON,0.020615489361466004,0.009775589712405155,38,4,0.02110515652405606,0.036902404393301766
WCN,0.020155635735133442,0.015314704329250363,12,1,0.030261545115596283,0.0360792512688181
AAL,0.020009612209057066,0.02424275251440026,16,2,0.029469124022350326,0.03581786435164511
BE,0.019697319582372717,0.026482931781600712,24,1,0.010402407717081175,0.03525885027262483
AATC,0.018770751878715228,0.03854622497738439,12,1,0.033027237831744057,0.033600263590610205
BRK-B,0.01622688934490431,0.009835578968997397,26,1,0.01877452992459914,0.029046665938976087
XOM,0.01556426402247808,0.0238532808029104,24,3,0.02367660622106909,0.02786054480545981
NEO,0.015396324814582512,0.021866190115337598,12,1,0.05440662328927249,0.02755992809660608
GWW,0.013055069259035124,0.03462904390742555,12,1,0.02726213437996976,0.023369003603667914
FIS,0.012918352578883466,0.026453773011744026,12,1,0.04041766829240028,0.023124276246979672
V,0.012755616097671028,0.004525612415115785,38,4,0.005553128168216699,0.02283297259010556
FIP,0.012631490728283012,0.012857042090133877,12,1,0.08277722095609603,0.02261078409405238
KLAC,0.012514471835924124,0.013841044419869589,17,1,0.031135773696770244,0.02240131642574878
CYRX,0.012149885076811966,0.004635823875803737,13,1,0.13318191710510294,0.021748694128732232
TFC,0.011603556346057187,0.014363700839338469,20,2,0.035916720124103414,0.020770747721518813
ORCL,0.010723168230537337,0.021745404354100006,11,1,0.04252841045343605,0.01919482402199718
TTWO,0.009975865818430544,0.0234455201937086,12,1,0.027686246048417563,0.01785712811130968
MO,0.009824023710034633,0.03366318070619146,12,1,0.022581477921728172,0.01758532574030067
VRSK,0.009280009641649278,0.004542778058580421,38,2,0.018480926916527817,0.016611522654901872
CHGCY,0.007879813940077241,0.010573341152883706,12,1,0.028925978743118374,0.014105126269970276
QCOM,0.007833964611160085,0.01034679617618572,24,1,0.01663730671655085,0.014023054462350469
AXON,0.007824440775554565,0.0025227523598648294,13,2,0.0962402192152807,0.014006006483196158
TTEK,0.007700301288867049,0.031152089990443877,12,1,0.021625912203571417,0.013783792716712281
GD,0.007694361606141372,0.01863137633970967,12,1,0.03482276201027155,0.013773160489163973
AVGO,0.007677954428727927,0.010629251700680272,4,1,0.11559510567454916,0.0137437911016492
MOH,0.007503146314975716,0.023041153246467255,12,1,0.013113722383494055,0.013430878825262876
FDX,0.007414329328762024,0.008209267949160909,32,4,-0.014164056526264792,0.013271893497057263
ACN,0.007350284278280105,0.0060400887014815646,52,4,0.015047732587980244,0.013157250749032526
AMRC,0.007176955891890843,0.004365595082186708,12,1,0.03450011663735749,0.012846987233322308
KMI,0.00698718833361971,0.031152089990443877,12,1,0.01740717324997923,0.012507297058945929
UNP,0.006697357441397167,0.005799951282243681,36,6,0.013095865052019512,0.011988490223806743
KTOS,0.006657220257338109,0.0035397917652927424,12,1,0.017716889943996037,0.011916643343464223
NEE,0.006580448026582085,0.007894628184483256,12,1,0.022607668235327616,0.011779218523909358
PHG,0.006375239308591752,0.010459684444329027,21,1,0.03351389654963228,0.011411888165481632
ARCC,0.006222166600704199,0.016253573542220883,13,1,0.014331621215127516,0.011137882980884717
LRCX,0.005904410862557413,0.007594504652173734,19,1,0.043161313960102456,0.01056908975256084
AMN,0.00567975353807871,0.002129418877465471,17,1,0.05568734126004626,0.010166945748483666
HLIO,0.005645105398683306,0.0034575729588832735,16,1,0.06641238241495422,0.01010492443872836
CARG,0.005629416960364285,0.01272716688568009,12,1,0.03795665530250091,0.01007684161784563
PI,0.005406024362508508,0.0037243198958776063,24,1,0.07939508704086666,0.009676961516044453
CHD,0.005367164896807924,0.032752681932935554,12,1,0.015646619691787517,0.009607401793612105
MDT,0.0053294061026117005,0.01889975155926214,37,3,0.0004923879490184163,0.009539812309394621
VLO,0.005270327797679393,0.02342410556581249,16,2,0.008456584025845653,0.009434060199354593
CI,0.005268528998772609,0.005526303835531902,24,2,0.0312660836567436,0.009430840290114676
WMT,0.00518166439878223,0.03501050194233933,12,1,0.01079064475889214,0.009275349797499981
META,0.005140738601855753,0.003918810434510918,12,1,0.09734599186822031,0.009202091274172278
CSCO,0.00514025904760807,0.00781118277130926,38,3,0.0029681144947888314,0.009201232856287246
MA,0.004999021878713703,0.0015088169169966412,36,2,0.012917269264813337,0.00894841367598454
HUMA,0.004976747222202321,0.0017544773654983893,28,1,0.09082335110416105,0.008908541307791265
SCHW,0.004927231781237541,0.0021459733933237727,40,2,0.02070669780355342,0.008819907038957929
MMM,0.004816848201741929,0.0016123303905031569,49,3,0.02434900954105567,0.008622316799041472
WCC,0.004485648819824362,0.022371982888287234,12,1,0.014887652963034292,0.008029459005950281
MKL,0.0044303520068008995,0.0051100682309691585,24,2,0.0006125740259978492,0.00793047589087241
SGIOY,0.004417958487482188,0.003312163361404681,17,1,0.012940180414134842,0.007908291083432906
GOOG,0.004417353499485631,0.004877177863288974,15,1,0.03800575110736438,0.007907208135009485
TT,0.004403335711501994,0.0022451836070820595,19,2,0.04914274724352696,0.007882115833206617
WFC,0.003955914389782256,0.0018752059471963843,24,2,0.017869644483295557,0.007081216943115306
JNJ,0.003927906826536579,0.01083916704802967,50,5,-5.9913845812636666e-05,0.007031082483203098
PWR,0.003918431936079218,0.0019870558343288228,13,1,0.08712432807160797,0.007014122117474728
BX,0.0038044006772013105,0.0029678738291172217,48,1,0.03030356386197247,0.006810002411422281
HWM,0.0037876420318235697,0.0042079639362248055,12,1,0.07546405370196758,0.006780003884684939
DOV,0.0035336436092283765,0.008415795176547865,12,1,0.03410400862570947,0.00632533834939143
GS,0.003486447212304462,0.0043490295208661635,15,1,0.05838273759029258,0.00624085524570879
KR,0.0033625658233125497,0.014363764571042163,23,2,0.019269085676603556,0.006019103482593797
RTX,0.0032020515389301262,0.004801990873302794,25,2,0.01876948911305415,0.0057317776311758125
BATRK,0.003174069794829282,0.006023115255966779,20,1,0.01891407694823527,0.00568168938838254
CVX,0.0031419011624559323,0.021866190115337598,12,1,0.019565122007880336,0.0056241064777949445
CAT,0.0030599624907452516,0.009212810735845584,40,6,0.01699295639382417,0.005477433558908555
R,0.002815742613222522,0.01144174607466887,18,1,-0.0024943736681558998,0.005040271941097435
BEN,0.002758529028388658,0.004503973613353715,17,2,0.041523005260783154,0.004937857741399797
